id_transaction,id_collaborateur,date_transaction,client,categorie,montant_euros,statut
T000001,C0085,2024-09-17,Cabinet Ferrand,Maintenance,3810.71,payee
T000002,C0002,2024-12-17,Cabinet Ferrand,Licence,2049.28,annulee
T000003,C0214,2024-01-25,Sigma Sante,Formation,2899.28,payee
T000004,C0005,10-06-2025,Nord Logistique,Formation,2939.7,en attente
T000005,C0199,2024-06-05,Maison Delaunay,Conseil,4967.89,payee
T000006,C0181,03-06-2025,Nord Logistique,Maintenance,2943.18,payee
T000007,C0185,2025-02-16,Orion Energie,Audit,4181.87,payee
T000008,C0038,2024-05-27,Cabinet Ferrand,Maintenance,3066.56,en attente
T000009,C0205,2024-12-08,Sigma Sante,Formation,5146.41,payee
T000010,C0139,27/01/2024,Nord Logistique,Licence,2583.16,payee
T000011,C0094,2025-05-27,Sigma Sante,Audit,1804.35,payee
T000012,C0159,2024-08-09,Orion Energie,Licence,4182.18,payee
T000013,C0080,2024-10-06,Atelier Bastide,Audit,4257.17,payee
T000014,C0065,2024-04-24,Verne Industries,Licence,3357.94,payee
T000015,C0067,2024-09-23,Verne Industries,Licence,3076.2,en attente
T000016,C0133,2024-10-15,Cabinet Ferrand,Licence,4276.67,annulee
T000017,C0140,2024-06-13,Cabinet Ferrand,Formation,1780.31,payee
T000018,C0056,15/12/2025,Groupe Lorrain,Licence,3927.47,payee
T000019,C0057,23/07/2024,Orion Energie,Formation,6872.26,payee
T000020,C0220,2024-05-12,Sigma Sante,Maintenance,2335.04,payee
T000021,C0120,2025-02-04,Nord Logistique,Maintenance,2922.76,en attente
T000022,C0200,2024-08-20,Verne Industries,Formation,5972.71,payee
T000023,C0077,2024-11-27,Sigma Sante,Audit,3360.81,payee
T000024,C0067,2025-06-13,Verne Industries,Licence,4931.18,payee
T000025,C0066,2024-02-27,Verne Industries,Audit,4043.63,payee
T000026,C0123,06/01/2025,Orion Energie,Maintenance,4213.67,payee
T000027,C0181,16/01/2024,Orion Energie,Audit,2264.42,en attente
T000028,C0117,02/02/2024,Nord Logistique,Audit,2225.83,payee
T000029,C0069,2024-03-08,Atelier Bastide,Formation,4607.36,payee
T000030,C0117,2024-04-28,Groupe Lorrain,Formation,1488.12,payee
T000031,C0133,12/09/2024,Orion Energie,Audit,2992.49,payee
T000032,C0092,2025-11-13,Verne Industries,Formation,4279.15,payee
T000033,C0003,2025-10-23,Maison Delaunay,Maintenance,2915.06,payee
T000034,C0131,2024-03-16,Verne Industries,Conseil,3092.06,payee
T000035,C0145,24-12-2025,Cabinet Ferrand,Audit,6892.67,payee
T000036,C0216,2025-04-08,Orion Energie,Maintenance,5052.92,payee
T000037,C0054,2025-02-08,Nord Logistique,Licence,6331.73,payee
T000038,C0038,2025-08-01,Cabinet Ferrand,Licence,9531.37,payee
T000039,C0089,2024-12-19,Cabinet Ferrand,Maintenance,6060.73,en attente
T000040,C0128,2024-07-12,Atelier Bastide,Formation,2603.48,en attente
T000041,C0007,2025-01-21,Nord Logistique,Formation,2057.3,annulee
T000042,C0025,2025-06-13,Nord Logistique,Formation,2622.68,annulee
T000043,C0111,2025-05-13,Groupe Lorrain,Conseil,4315.22,payee
T000044,C0144,2024-05-04,Cabinet Ferrand,Audit,2764.89,payee
T000045,C0057,2025-11-15,Maison Delaunay,Maintenance,2312.06,payee
T000046,C0085,26-07-2024,Groupe Lorrain,Licence,6715.15,payee
