date,type,locale,locale_name,description,transferred,latitude,longitude,geojson
2012-03-02,Holiday,Local,Manta,Fundacion de Manta,False,-0.954932,-80.734083,"{""type"": ""Feature"", ""properties"": {""name"": ""Manta""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-80.709528, -0.951689], [-80.702256, -0.937864], [-80.736989, -0.939793], [-80.774345, -0.932895], [-80.74908, -0.97058], [-80.746825, -0.98151], [-80.716421, -0.975387], [-80.709528, -0.951689]]]}}"
2012-04-01,Holiday,Regional,Cotopaxi,Provincializacion de Cotopaxi,False,-0.681433,-78.586852,"{""type"": ""Feature"", ""properties"": {""name"": ""Cotopaxi""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-78.560151, -0.691119], [-78.576167, -0.656603], [-78.598046, -0.641604], [-78.605677, -0.686055], [-78.608761, -0.710618], [-78.570553, -0.707606], [-78.560151, -0.691119]]]}}"
2012-04-12,Holiday,Local,Cuenca,Fundacion de Cuenca,False,-2.899172,-79.004984,"{""type"": ""Feature"", ""properties"": {""name"": ""Cuenca""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-78.96073, -2.906069], [-78.9977, -2.878558], [-79.034846, -2.870613], [-79.013318, -2.91418], [-78.992186, -2.928341], [-78.96073, -2.906069]]]}}"
2012-04-14,Holiday,Local,Libertad,Cantonizacion de Libertad,False,-2.237104,-80.899753,"{""type"": ""Feature"", ""properties"": {""name"": ""Libertad""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-80.877378, -2.235152], [-80.889042, -2.219178], [-80.908202, -2.217817], [-80.934435, -2.208827], [-80.939225, -2.23558], [-80.936182, -2.246889], [-80.899818, -2.245097], [-80.88496, -2.244889], [-80.877378, -2.235152]]]}}"
2012-04-21,Holiday,Local,Riobamba,Cantonizacion de Riobamba,False,-1.663171,-78.658516,"{""type"": ""Feature"", ""properties"": {""name"": ""Riobamba""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-78.642015, -1.662587], [-78.618887, -1.629499], [-78.665401, -1.639166], [-78.688402, -1.64361], [-78.679279, -1.672117], [-78.657482, -1.708561], [-78.627808, -1.681016], [-78.642015, -1.662587]]]}}"
2012-05-12,Holiday,Local,Puyo,Cantonizacion del Puyo,False,-1.482329,-78.00208,"{""type"": ""Feature"", ""properties"": {""name"": ""Puyo""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-77.959194, -1.481369], [-77.978144, -1.458], [-78.006431, -1.464928], [-78.027662, -1.463984], [-78.041321, -1.488453], [-78.006287, -1.500296], [-77.978583, -1.503475], [-77.959194, -1.481369]]]}}"
2012-06-23,Holiday,Local,Guaranda,Cantonizacion de Guaranda,False,-1.599695,-79.002562,"{""type"": ""Feature"", ""properties"": {""name"": ""Guaranda""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-78.985966, -1.59271], [-78.992031, -1.580945], [-78.999825, -1.567799], [-79.027395, -1.578999], [-79.042554, -1.599986], [-79.029715, -1.609282], [-78.995005, -1.608992], [-78.959973, -1.615462], [-78.985966, -1.59271]]]}}"
2012-06-25,Holiday,Regional,Imbabura,Provincializacion de Imbabura,False,0.347325,-78.129936,"{""type"": ""Feature"", ""properties"": {""name"": ""Imbabura""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-78.08867, 0.349781], [-78.119968, 0.360742], [-78.148337, 0.372813], [-78.153207, 0.350818], [-78.140769, 0.33981], [-78.108491, 0.323505], [-78.08867, 0.349781]]]}}"
2012-06-25,Holiday,Local,Latacunga,Cantonizacion de Latacunga,False,-0.930354,-78.616268,"{""type"": ""Feature"", ""properties"": {""name"": ""Latacunga""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-78.571305, -0.9416], [-78.580608, -0.925155], [-78.625617, -0.915102], [-78.642257, -0.920602], [-78.628192, -0.944616], [-78.618622, -0.979827], [-78.604282, -0.944073], [-78.571305, -0.9416]]]}}"
2012-06-25,Holiday,Local,Machala,Fundacion de Machala,False,-3.253166,-79.956167,"{""type"": ""Feature"", ""properties"": {""name"": ""Machala""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-79.933635, -3.263994], [-79.94741, -3.243591], [-79.960304, -3.239386], [-79.97357, -3.228218], [-79.966874, -3.267653], [-79.957939, -3.299796], [-79.933472, -3.27494], [-79.933635, -3.263994]]]}}"
2012-07-03,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo,False,-0.253408,-79.17662,"{""type"": ""Feature"", ""properties"": {""name"": ""Santo Domingo""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-79.126297, -0.255341], [-79.165056, -0.223795], [-79.170533, -0.234162], [-79.201094, -0.22854], [-79.193433, -0.277176], [-79.175884, -0.29765], [-79.159196, -0.263979], [-79.126297, -0.255341]]]}}"
2012-07-03,Holiday,Local,El Carmen,Cantonizacion de El Carmen,False,0.264539,-79.449219,"{""type"": ""Feature"", ""properties"": {""name"": ""El Carmen""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-79.419193, 0.273802], [-79.419865, 0.294453], [-79.458224, 0.302248], [-79.468835, 0.288775], [-79.459899, 0.260487], [-79.454059, 0.238144], [-79.432593, 0.225801], [-79.419193, 0.273802]]]}}"
2012-07-23,Holiday,Local,Cayambe,Cantonizacion de Cayambe,False,0.034451,-78.139478,"{""type"": ""Feature"", ""properties"": {""name"": ""Cayambe""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-78.110803, 0.030731], [-78.131416, 0.047067], [-78.143311, 0.064017], [-78.180873, 0.060698], [-78.155237, 0.042783], [-78.182213, 0.032475], [-78.145975, -0.003797], [-78.11762, 0.030616], [-78.110803, 0.030731]]]}}"
2012-08-05,Holiday,Local,Esmeraldas,Fundacion de Esmeraldas,False,0.957011,-79.65052,"{""type"": ""Feature"", ""properties"": {""name"": ""Esmeraldas""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-79.611747, 0.964682], [-79.631378, 0.98885], [-79.662713, 0.997423], [-79.672779, 0.953723], [-79.68388, 0.932662], [-79.645189, 0.922797], [-79.611747, 0.964682]]]}}"
2012-08-10,Holiday,National,Ecuador,Primer Grito de Independencia,False,-1.833716,-78.184152,"{""type"": ""Feature"", ""properties"": {""name"": ""Ecuador""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-78.171897, -1.837417], [-78.145315, -1.807798], [-78.177746, -1.787912], [-78.206447, -1.803554], [-78.208298, -1.833819], [-78.211452, -1.8398], [-78.190038, -1.860426], [-78.176939, -1.867768], [-78.171897, -1.837417]]]}}"
2012-08-15,Holiday,Local,Riobamba,Fundacion de Riobamba,False,-1.665616,-78.651962,"{""type"": ""Feature"", ""properties"": {""name"": ""Riobamba""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-78.642015, -1.662587], [-78.618887, -1.629499], [-78.665401, -1.639166], [-78.688402, -1.64361], [-78.679279, -1.672117], [-78.657482, -1.708561], [-78.627808, -1.681016], [-78.642015, -1.662587]]]}}"
2012-08-24,Holiday,Local,Ambato,Fundacion de Ambato,False,-1.240729,-78.62178,"{""type"": ""Feature"", ""properties"": {""name"": ""Ambato""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-78.594508, -1.252436], [-78.602473, -1.206439], [-78.622375, -1.199131], [-78.636876, -1.214541], [-78.647173, -1.248954], [-78.636122, -1.270586], [-78.60172, -1.277189], [-78.594508, -1.252436]]]}}"
2012-09-28,Holiday,Local,Ibarra,Fundacion de Ibarra,False,0.338593,-78.118935,"{""type"": ""Feature"", ""properties"": {""name"": ""Ibarra""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-78.091976, 0.340803], [-78.089813, 0.355071], [-78.122158, 0.35725], [-78.142828, 0.365224], [-78.161417, 0.340091], [-78.137135, 0.299568], [-78.121194, 0.293214], [-78.10654, 0.308382], [-78.091976, 0.340803]]]}}"
2012-10-07,Holiday,Local,Quevedo,Cantonizacion de Quevedo,False,-1.019005,-79.456839,"{""type"": ""Feature"", ""properties"": {""name"": ""Quevedo""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-79.431465, -1.020622], [-79.434061, -0.996655], [-79.457698, -1.007943], [-79.478669, -0.993233], [-79.476376, -1.023112], [-79.468573, -1.03937], [-79.454839, -1.051895], [-79.434534, -1.037277], [-79.431465, -1.020622]]]}}"
